host,status,grade,score,verdict,ad_requests,ad_domains,ad_slots,sticky_ads,popups,trackers,ad_weight_pct,refs,starred,pages,url,checked_utc,error
www.worlddata.info,,F,19.0,Ad-saturated / hostile,27,2,6,0,0,0,64.8,1,1,Educational,https://www.worlddata.info/,2026-08-14T14:46:47+00:00,
arab.org,,F,19.5,Ad-saturated / hostile,21,10,3,0,0,5,16.0,1,1,Misc,https://arab.org/,2026-08-14T17:12:05+00:00,
bakingcalculators.com,,F,19.5,Ad-saturated / hostile,58,13,1,1,0,1,70.5,2,2,Misc,https://bakingcalculators.com/,2026-08-13T18:14:19+00:00,
cemu.cfw.guide,,F,20.0,Ad-saturated / hostile,241,59,2,0,0,0,33.6,2,2,Gaming,https://cemu.cfw.guide/,2026-08-13T17:57:57+00:00,
ios.cfw.guide,,F,20.0,Ad-saturated / hostile,422,78,2,0,0,0,46.1,45,3,Mobile,https://ios.cfw.guide/installing-nathanlr/,2026-08-13T16:09:28+00:00,
nanoreview.net,,F,20.0,Ad-saturated / hostile,269,68,2,0,0,0,64.1,2,2,Misc,https://nanoreview.net/,2026-08-13T18:14:19+00:00,
www.linguee.es,,F,20.0,Ad-saturated / hostile,284,68,2,0,0,0,80.5,1,1,Educational,https://www.linguee.es/,2026-08-14T14:46:47+00:00,
virtualvacation.us,,F,20.7,Ad-saturated / hostile,168,51,3,0,0,2,16.6,4,1,Educational Gaming Misc,https://virtualvacation.us/guess,2026-08-14T14:46:47+00:00,
strumyk.pk,,F,21.0,Ad-saturated / hostile,40,8,2,0,0,0,43.9,4,2,Non-Eng Streaming,https://strumyk.pk/,2026-08-13T16:09:28+00:00,
pinetools.com,,F,22.0,Ad-saturated / hostile,134,59,1,0,0,6,38.7,2,2,Misc,https://pinetools.com/,2026-08-13T18:14:19+00:00,
watch.plex.tv,,F,22.3,Ad-saturated / hostile,174,64,1,0,0,9,26.3,2,2,Streaming,https://watch.plex.tv/,2026-08-13T20:28:46+00:00,
tailscale.com,,F,22.4,Ad-saturated / hostile,49,18,0,0,0,17,28.2,2,2,Adblock,https://tailscale.com/,2026-08-13T17:57:57+00:00,
citywalks.live,,F,22.5,Ad-saturated / hostile,239,62,2,0,0,1,23.9,1,1,Educational,https://citywalks.live/,2026-08-14T14:46:47+00:00,
planefinder.net,,F,22.5,Ad-saturated / hostile,233,77,1,0,0,5,52.9,1,1,Misc,https://planefinder.net/,2026-08-14T17:12:05+00:00,
guessthe.game,,F,23.0,Ad-saturated / hostile,558,102,1,0,0,4,39.8,2,2,Gaming,https://guessthe.game/,2026-08-13T18:14:19+00:00,
mobile.alphacoders.com,,F,23.1,Ad-saturated / hostile,66,21,3,0,0,2,11.8,2,2,Mobile,https://mobile.alphacoders.com/,2026-08-13T18:14:19+00:00,
avieshek.wordpress.com,,F,23.8,Ad-saturated / hostile,11,7,17,1,0,2,5.3,4,3,Linux Mobile,https://avieshek.wordpress.com/2024/06/11/how-to-sideload-on-ios/,2026-08-13T16:09:28+00:00,
5e.tools,,F,24.0,Ad-saturated / hostile,655,83,1,0,0,2,55.0,2,2,Educational,https://5e.tools/,2026-08-13T17:57:57+00:00,
allchemy.io,,F,24.0,Ad-saturated / hostile,84,42,1,0,0,2,46.2,2,2,Gaming,https://allchemy.io/,2026-08-13T17:57:57+00:00,
www.gethomebank.org,,F,24.0,Ad-saturated / hostile,33,5,3,0,0,2,49.9,1,1,Misc,https://www.gethomebank.org/en/index.php,2026-08-14T17:12:05+00:00,
www.jetpunk.com,,F,24.0,Ad-saturated / hostile,340,80,1,0,0,2,53.5,2,1,Educational Gaming,https://www.jetpunk.com/,2026-08-14T14:46:47+00:00,
www.last.fm,,F,24.0,Ad-saturated / hostile,234,63,1,0,0,2,37.0,4,2,Music,https://www.last.fm/home,2026-08-13T16:09:28+00:00,
www.setlist.fm,,F,24.0,Ad-saturated / hostile,41,15,1,0,0,2,43.3,2,2,Music,https://www.setlist.fm/,2026-08-13T18:14:19+00:00,
www.notebookcheck.net,online,F,24.0,Ad-saturated / hostile,397,90,1,0,0,2,42.4,1,1,Misc,https://www.notebookcheck.net/Benchmarks-Tech.123.0.html,2026-08-18T17:22:03+00:00,
garticphone.com,,F,24.5,Ad-saturated / hostile,66,43,1,0,0,1,42.6,2,2,Gaming,https://garticphone.com/,2026-08-13T17:57:57+00:00,
www.gamedle.wtf,,F,24.5,Ad-saturated / hostile,296,80,1,0,0,1,65.6,1,1,Gaming,https://www.gamedle.wtf/,2026-08-14T17:12:05+00:00,
gn-math.dev,,F,25.0,Ad-saturated / hostile,75,20,3,0,0,6,3.9,2,2,Gaming,https://gn-math.dev/,2026-08-13T17:57:57+00:00,
sunoaiwiki.com,,F,25.0,Ad-saturated / hostile,48,6,2,0,0,4,73.9,1,1,Artificial-Intelligence,https://sunoaiwiki.com/en,2026-08-14T14:46:47+00:00,
